       7984.3750   1.1790001e-11
       7968.7500   1.1790001e-11
       7953.1250   1.1790001e-11
       7937.5000   1.1824563e-11
       7921.8750   1.1859125e-11
       7906.2500   1.1859256e-11
       7890.6250   1.1859387e-11
       7875.0000   1.1894166e-11
       7859.3750   1.1928945e-11
       7843.7500   1.1929210e-11
       7828.1250   1.1929474e-11
       7812.5000   1.1964473e-11
       7796.8750   1.1999472e-11
       7781.2500   1.1999872e-11
       7765.6250   1.2000271e-11
       7750.0000   1.2035493e-11
       7734.3750   1.2070715e-11
       7718.7500   1.2071252e-11
       7703.1250   1.2071790e-11
       7687.5000   1.2107237e-11
       7671.8750   1.2142685e-11
       7656.2500   1.2143363e-11
       7640.6250   1.2144040e-11
       7625.0000   1.2179717e-11
       7609.3750   1.2215393e-11
       7593.7500   1.2216213e-11
       7578.1250   1.2217032e-11
       7562.5000   1.2252940e-11
       7546.8750   1.2288848e-11
       7531.2500   1.2289812e-11
       7515.6250   1.2290777e-11
       7500.0000   1.2326920e-11
       7484.3750   1.2363063e-11
       7468.7500   1.2364174e-11
       7453.1250   1.2365286e-11
       7437.5000   1.2401666e-11
       7421.8750   1.2438047e-11
       7406.2500   1.2439308e-11
       7390.6250   1.2440570e-11
       7375.0000   1.2477191e-11
       7359.3750   1.2513813e-11
       7343.7500   1.2515227e-11
       7328.1250   1.2516641e-11
       7312.5000   1.2553506e-11
       7296.8750   1.2590372e-11
       7281.2500   1.2591941e-11
       7265.6250   1.2593510e-11
       7250.0000   1.2630623e-11
       7234.3750   1.2667736e-11
       7218.7500   1.2669463e-11
       7203.1250   1.2671190e-11
       7187.5000   1.2708553e-11
       7171.8750   1.2745917e-11
       7156.2500   1.2747805e-11
       7140.6250   1.2749692e-11
       7125.0000   1.2787309e-11
       7109.3750   1.2824927e-11
       7093.7500   1.2826977e-11
       7078.1250   1.2829028e-11
       7062.5000   1.2866903e-11
       7046.8750   1.2904779e-11
       7031.2500   1.2906995e-11
       7015.6250   1.2909212e-11
       7000.0000   1.2947348e-11
       6984.3750   1.2985485e-11
       6968.7500   1.2987871e-11
       6953.1250   1.2990256e-11
       6937.5000   1.3028657e-11
       6921.8750   1.3067058e-11
       6906.2500   1.3069616e-11
       6890.6250   1.3072173e-11
       6875.0000   1.3110843e-11
       6859.3750   1.3149512e-11
       6843.7500   1.3152245e-11
       6828.1250   1.3154977e-11
       6812.5000   1.3193919e-11
       6796.8750   1.3232861e-11
       6781.2500   1.3235771e-11
       6765.6250   1.3238682e-11
       6750.0000   1.3277900e-11
       6734.3750   1.3317117e-11
       6718.7500   1.3320208e-11
       6703.1250   1.3323300e-11
       6687.5000   1.3362798e-11
       6671.8750   1.3402295e-11
       6656.2500   1.3405571e-11
       6640.6250   1.3408848e-11
       6625.0000   1.3448629e-11
       6609.3750   1.3488410e-11
       6593.7500   1.3491874e-11
       6578.1250   1.3495338e-11
       6562.5000   1.3535407e-11
       6546.8750   1.3575476e-11
       6531.2500   1.3579131e-11
       6515.6250   1.3582786e-11
       6500.0000   1.3623147e-11
       6484.3750   1.3663508e-11
       6468.7500   1.3667357e-11
       6453.1250   1.3671206e-11
       6437.5000   1.3711863e-11
       6421.8750   1.3752520e-11
       6406.2500   1.3756568e-11
       6390.6250   1.3760615e-11
       6375.0000   1.3801572e-11
       6359.3750   1.3842530e-11
       6343.7500   1.3846779e-11
       6328.1250   1.3851028e-11
       6312.5000   1.3892290e-11
       6296.8750   1.3933552e-11
       6281.2500   1.3938006e-11
       6265.6250   1.3942460e-11
       6250.0000   1.3986547e-11
       6234.3750   1.4030634e-11
       6218.7500   1.4039135e-11
       6203.1250   1.4047636e-11
       6187.5000   1.4093444e-11
       6171.8750   1.4139251e-11
       6156.2500   1.4148049e-11
       6140.6250   1.4156847e-11
       6125.0000   1.4203099e-11
       6109.3750   1.4249351e-11
       6093.7500   1.4258451e-11
       6078.1250   1.4267552e-11
       6062.5000   1.4314256e-11
       6046.8750   1.4360960e-11
       6031.2500   1.4370370e-11
       6015.6250   1.4379781e-11
       6000.0000   1.4426946e-11
       5984.3750   1.4474111e-11
       5968.7500   1.4483837e-11
       5953.1250   1.4493564e-11
       5937.5000   1.4541198e-11
       5921.8750   1.4588832e-11
       5906.2500   1.4598882e-11
       5890.6250   1.4608932e-11
       5875.0000   1.4657044e-11
       5859.3750   1.4705155e-11
       5843.7500   1.4715536e-11
       5828.1250   1.4725917e-11
       5812.5000   1.4774515e-11
       5796.8750   1.4823113e-11
       5781.2500   1.4833832e-11
       5765.6250   1.4844551e-11
       5750.0000   1.4893645e-11
       5734.3750   1.4942739e-11
       5718.7500   1.4953803e-11
       5703.1250   1.4964868e-11
       5687.5000   1.5014467e-11
       5671.8750   1.5064066e-11
       5656.2500   1.5075484e-11
       5640.6250   1.5086903e-11
       5625.0000   1.5137015e-11
       5609.3750   1.5187128e-11
       5593.7500   1.5198908e-11
       5578.1250   1.5210689e-11
       5562.5000   1.5261326e-11
       5546.8750   1.5311963e-11
       5531.2500   1.5324113e-11
       5515.6250   1.5336264e-11
       5500.0000   1.5387436e-11
       5484.3750   1.5438607e-11
       5468.7500   1.5451136e-11
       5453.1250   1.5463664e-11
       5437.5000   1.5515380e-11
       5421.8750   1.5567096e-11
       5406.2500   1.5580012e-11
       5390.6250   1.5592928e-11
       5375.0000   1.5645200e-11
       5359.3750   1.5697471e-11
       5343.7500   1.5710783e-11
       5328.1250   1.5724096e-11
       5312.5000   1.5776933e-11
       5296.8750   1.5829770e-11
       5281.2500   1.5843488e-11
       5265.6250   1.5857206e-11
